Employment_Type,Productivity_Score,Well_Being_Score,Hours_Worked_Per_Week
In-Office,72,65,39
In-Office,71,55,39
In-Office,62,78,39
In-Office,63,37,39
In-Office,56,75,39
In-Office,77,45,39
In-Office,70,58,39
In-Office,59,56,39
In-Office,51,80,39
In-Office,75,95,39
In-Office,62,44,39
In-Office,66,54,39
In-Office,53,54,39
In-Office,59,57,40
In-Office,57,76,40
In-Office,53,63,40
In-Office,66,65,40
In-Office,44,62,40
In-Office,70,64,40
In-Office,47,67,40
In-Office,48,52,40
In-Office,74,67,40
In-Office,49,57,40
In-Office,60,59,40
In-Office,67,77,40
In-Office,66,50,40
In-Office,56,61,40
In-Office,75,27,40
In-Office,62,42,40
In-Office,65,39,40
In-Office,82,75,40
In-Office,51,54,40
In-Office,63,36,40
In-Office,58,51,40
In-Office,53,64,40
In-Office,67,66,40
In-Office,66,50,40
In-Office,71,54,40
In-Office,78,63,40
In-Office,58,18,40
In-Office,83,61,40
In-Office,58,54,40
In-Office,86,60,40
In-Office,76,82,40
In-Office,50,64,40
In-Office,53,76,40
In-Office,60,56,40
In-Office,80,69,41
In-Office,53,57,41
In-Office,70,50,41
In-Office,60,69,41
In-Office,63,61,41
In-Office,56,51,41
In-Office,69,17,41
In-Office,72,32,41
In-Office,70,36,41
In-Office,51,43,41
In-Office,73,60,41
In-Office,66,74,41
In-Office,73,41,41
In-Office,65,55,41
In-Office,67,37,41
In-Office,59,67,41
In-Office,78,72,41
In-Office,60,63,41
In-Office,64,70,41
In-Office,43,90,41
In-Office,49,72,41
In-Office,54,60,41
In-Office,49,72,41
In-Office,51,70,41
In-Office,74,83,41
In-Office,62,63,41
In-Office,64,77,41
In-Office,56,51,41
In-Office,62,44,41
In-Office,76,60,41
In-Office,65,65,41
In-Office,67,52,41
In-Office,81,69,41
In-Office,48,53,41
In-Office,83,60,41
In-Office,65,74,41
In-Office,54,94,41
In-Office,74,58,41
In-Office,71,80,41
In-Office,71,80,41
In-Office,64,44,42
In-Office,53,54,42
In-Office,74,68,42
In-Office,44,54,42
In-Office,58,61,42
In-Office,68,95,42
In-Office,68,32,42
In-Office,75,67,42
In-Office,80,60,42
In-Office,70,60,42
In-Office,77,60,42
In-Office,75,54,42
In-Office,60,75,42
In-Office,73,44,42
In-Office,52,74,42
In-Office,55,30,42
In-Office,52,57,42
In-Office,82,48,42
In-Office,64,59,42
In-Office,66,59,42
In-Office,51,46,42
In-Office,42,80,42
In-Office,62,58,42
In-Office,56,49,43
In-Office,76,73,43
In-Office,59,64,43
In-Office,61,49,43
In-Office,78,38,43
In-Office,71,49,43
In-Office,73,61,43
In-Office,78,56,43
In-Office,48,66,43
In-Office,55,53,43
In-Office,73,51,43
In-Office,62,69,43
In-Office,63,67,43
In-Office,66,43,43
In-Office,72,40,43
In-Office,75,54,43
In-Office,64,62,43
In-Office,55,104,43
In-Office,61,72,43
In-Office,70,63,43
In-Office,76,52,43
In-Office,64,69,43
In-Office,66,82,43
In-Office,63,79,43
In-Office,61,34,43
In-Office,71,59,43
In-Office,70,31,43
In-Office,70,81,43
In-Office,71,58,43
In-Office,60,87,43
In-Office,58,78,43
In-Office,79,67,43
In-Office,56,54,44
In-Office,59,16,44
In-Office,64,60,44
In-Office,68,81,44
In-Office,68,75,44
In-Office,65,61,44
In-Office,76,58,44
In-Office,70,72,44
In-Office,68,52,44
In-Office,61,39,44
In-Office,56,72,44
In-Office,70,27,44
In-Office,74,63,44
In-Office,68,73,44
In-Office,49,45,44
In-Office,49,66,44
In-Office,60,85,44
In-Office,58,68,44
In-Office,88,77,44
In-Office,64,63,44
In-Office,48,43,44
In-Office,70,55,44
In-Office,80,71,44
In-Office,71,49,44
In-Office,56,48,44
In-Office,66,60,44
In-Office,63,69,44
In-Office,67,63,44
In-Office,60,76,44
In-Office,52,80,44
In-Office,39,57,44
In-Office,72,61,44
In-Office,56,61,44
In-Office,63,66,44
In-Office,77,76,44
In-Office,54,53,44
In-Office,65,57,44
In-Office,63,57,44
In-Office,49,47,45
In-Office,58,62,45
In-Office,53,85,45
In-Office,60,56,45
In-Office,52,49,45
In-Office,63,65,45
In-Office,83,45,45
In-Office,44,62,45
In-Office,45,69,45
In-Office,50,45,45
In-Office,69,55,45
In-Office,49,80,45
In-Office,47,67,45
In-Office,74,69,45
In-Office,70,67,45
In-Office,44,81,45
In-Office,71,70,45
In-Office,69,84,45
In-Office,72,73,45
In-Office,60,48,45
In-Office,71,57,45
In-Office,52,63,45
In-Office,63,53,45
In-Office,81,59,45
In-Office,65,43,45
In-Office,69,70,45
In-Office,54,57,45
In-Office,58,69,45
In-Office,49,77,45
In-Office,53,73,45
In-Office,69,49,45
In-Office,72,69,45
In-Office,71,86,45
In-Office,63,76,45
In-Office,66,80,45
In-Office,47,64,45
In-Office,48,22,45
In-Office,78,56,45
In-Office,76,66,45
In-Office,69,54,45
In-Office,73,34,45
In-Office,78,39,45
In-Office,64,46,45
In-Office,65,53,45
In-Office,74,61,45
In-Office,51,53,46
In-Office,71,81,46
In-Office,61,65,46
In-Office,65,45,46
In-Office,75,47,46
In-Office,72,35,46
In-Office,79,66,46
In-Office,55,64,46
In-Office,53,75,46
In-Office,55,59,46
In-Office,56,82,46
In-Office,62,51,46
In-Office,74,67,46
In-Office,63,41,46
In-Office,54,60,46
In-Office,60,56,46
In-Office,53,54,46
In-Office,76,37,46
In-Office,57,70,46
In-Office,64,45,46
In-Office,69,45,46
In-Office,63,74,46
In-Office,53,65,46
In-Office,61,57,46
In-Office,76,66,47
In-Office,57,66,47
In-Office,70,66,47
In-Office,68,77,47
In-Office,77,43,47
In-Office,66,67,47
In-Office,66,44,47
In-Office,68,37,47
In-Office,67,30,47
In-Office,60,75,47
In-Office,75,46,47
In-Office,63,72,47
In-Office,79,52,47
In-Office,71,63,47
In-Office,78,56,47
In-Office,71,47,47
In-Office,67,74,47
In-Office,58,74,47
In-Office,71,52,47
In-Office,69,34,47
In-Office,68,55,47
In-Office,79,45,47
In-Office,69,36,47
In-Office,75,30,47
In-Office,68,67,47
In-Office,55,51,47
In-Office,50,46,47
In-Office,61,52,47
In-Office,53,37,47
In-Office,56,92,47
In-Office,73,50,47
In-Office,62,45,47
In-Office,70,69,47
In-Office,66,58,48
In-Office,84,72,48
In-Office,69,76,48
In-Office,57,57,48
In-Office,57,38,48
In-Office,59,50,48
In-Office,67,43,48
In-Office,71,64,48
In-Office,67,30,48
In-Office,60,71,48
In-Office,56,71,48
In-Office,57,45,48
In-Office,65,25,48
In-Office,74,52,48
In-Office,62,61,48
In-Office,65,49,48
In-Office,59,32,48
In-Office,74,87,48
In-Office,62,76,48
In-Office,65,47,48
In-Office,61,52,48
In-Office,58,64,48
In-Office,55,39,48
In-Office,73,62,48
In-Office,72,45,49
In-Office,63,53,49
In-Office,67,55,49
In-Office,68,52,49
In-Office,66,56,49
In-Office,66,75,49
In-Office,70,67,49
In-Office,70,59,49
In-Office,74,64,49
In-Office,63,68,49
In-Office,54,66,49
In-Office,90,26,49
In-Office,62,39,49
In-Office,72,34,49
In-Office,51,37,49
In-Office,43,66,49
In-Office,73,74,49
In-Office,70,56,49
In-Office,79,55,49
In-Office,44,56,49
In-Office,53,72,50
In-Office,62,75,50
In-Office,72,60,50
In-Office,62,71,50
In-Office,64,63,50
In-Office,57,63,50
In-Office,58,59,50
In-Office,69,61,50
In-Office,81,79,50
In-Office,74,61,50
In-Office,88,59,50
In-Office,53,48,50
In-Office,66,58,50
In-Office,59,57,50
In-Office,65,80,50
In-Office,64,48,50
In-Office,69,63,50
In-Office,65,67,50
In-Office,77,65,50
In-Office,60,68,50
In-Office,74,55,50
In-Office,71,94,51
In-Office,60,48,51
In-Office,61,43,51
In-Office,49,14,51
In-Office,58,60,51
In-Office,59,45,51
In-Office,74,53,51
In-Office,62,81,51
In-Office,44,59,51
In-Office,47,66,51
In-Office,65,52,51
In-Office,63,51,51
In-Office,79,63,51
In-Office,56,59,51
In-Office,72,94,51
In-Office,42,67,52
In-Office,84,41,52
In-Office,75,73,52
In-Office,60,49,52
In-Office,74,63,52
In-Office,54,68,52
In-Office,51,67,52
In-Office,54,48,52
In-Office,62,54,52
In-Office,67,42,52
In-Office,66,52,52
In-Office,58,70,52
In-Office,81,64,52
In-Office,74,38,52
In-Office,66,72,52
In-Office,80,51,52
In-Office,66,25,52
In-Office,61,33,52
In-Office,52,69,52
In-Office,64,54,52
In-Office,60,38,52
In-Office,53,49,52
In-Office,83,58,53
In-Office,55,47,53
In-Office,69,60,53
In-Office,72,66,53
In-Office,70,44,53
In-Office,63,63,53
In-Office,64,32,53
In-Office,71,84,53
In-Office,61,52,53
In-Office,74,57,53
In-Office,89,60,53
In-Office,75,54,53
In-Office,72,57,53
In-Office,68,47,54
In-Office,49,84,54
In-Office,56,60,54
In-Office,64,44,54
In-Office,51,47,54
In-Office,47,66,55
In-Office,45,79,55
In-Office,59,72,55
In-Office,58,59,55
In-Office,81,78,55
In-Office,57,47,55
In-Office,57,40,55
In-Office,62,25,55
In-Office,66,75,56
In-Office,69,64,56
In-Office,46,51,56
In-Office,69,61,56
In-Office,53,83,56
In-Office,75,54,57
In-Office,69,52,57
In-Office,54,54,57
In-Office,49,30,57
In-Office,50,52,57
In-Office,73,68,58
In-Office,61,49,58
In-Office,56,67,58
In-Office,51,71,58
In-Office,64,38,60
In-Office,61,70,61
In-Office,54,39,61
In-Office,88,57,64
